ID,time,day of week,day of year,latitude,longitude
22101,300,4,261,41.877857676,-87.754974025
22098,80700,2,259,41.683457718,-87.669753776
22099,28800,2,259,41.729340475,-87.565806616
22097,17280,1,258,41.740497814,-87.545385562
22215,84780,0,257,41.679622543,-87.62270967
22095,83040,0,257,41.875314335,-87.721715561
22094,7860,0,257,41.81948083,-87.605665593
22096,2580,0,257,41.696554057,-87.647382098
22092,1800,0,257,41.742420897,-87.66809174
22091,71280,6,256,41.740368828,-87.658326062
22089,55200,3,253,41.910757025,-87.699099103
22088,22800,2,252,41.745402793,-87.591698509
22087,18600,1,251,41.942174917,-87.732114997
22085,73560,0,250,41.878875132,-87.70421379
22086,44160,0,250,41.747633492,-87.604498673
22083,10920,6,249,41.884390318,-87.654913645
22082,8940,6,249,41.783340761,-87.605993706
22958,82080,5,248,41.883751184,-87.72087861
22080,16740,5,248,41.91028398,-87.772745617
22081,1260,5,248,41.856035263,-87.713908132
22078,81300,4,247,41.867688909,-87.69960208
22362,58140,4,247,41.708242576,-87.639226455
10222837,70092,3,246,41.9862963,-87.655281972
22077,20100,3,246,41.684789786,-87.6633151
22075,85800,2,245,41.893580201,-87.760594937
22073,81180,2,245,41.770627366,-87.646263585
22071,76920,2,245,41.770822885,-87.572757629
22074,64980,2,245,41.931149149,-87.775157527
22072,43440,2,245,41.885342324,-87.710070246
22070,34800,2,245,41.760301092,-87.559987568
22069,10500,2,245,41.973923557,-87.657752098
22068,9660,2,245,41.973923557,-87.657752098
22067,6300,2,245,41.871988123,-87.694463394
22066,3600,2,245,41.863396806,-87.734883724
22065,78900,1,244,41.923783122,-87.778448036
22064,80460,0,243,41.888425663,-87.751690918
22063,75840,0,243,41.805341531,-87.603808314
22062,39600,0,243,41.95284137,-87.710435076
22061,11700,6,242,41.784130147,-87.657045934
22060,7500,6,242,41.745047697,-87.601372888
22217,34920,5,241,41.797827897,-87.756339623
22216,34920,5,241,41.797827897,-87.756339623
22059,14820,5,241,41.871909407,-87.701565099
22100,76800,4,240,41.773412339,-87.622723836
22055,73800,2,238,41.801472294,-87.653496757
22057,50820,2,238,41.875909279,-87.702836558
22056,41820,2,238,41.875909279,-87.702836558
22054,82620,1,237,41.698517258,-87.62805289
22053,67980,1,237,41.9017884,-87.745960471
22052,66000,1,237,41.803950638,-87.591878288
22051,74700,0,236,41.902818046,-87.73123173
22049,77400,6,235,41.788363519,-87.685430532
22048,75060,6,235,41.898954812,-87.748348292
22047,22380,6,235,41.908973017,-87.722849178
22046,79440,5,234,41.819685484,-87.701957617
22045,16980,5,234,41.797380337,-87.767323748
22044,66240,4,233,41.871674253,-87.721489579
22042,9360,4,233,41.905665158,-87.647315631
22050,33420,3,232,41.769074527,-87.566528191
22041,10140,3,232,41.930545187,-87.717156771
22040,50940,2,231,41.759110864,-87.63329808
22257,5940,2,231,42.008000249,-87.660438231
22038,79140,0,229,41.875163473,-87.733698124
22037,78300,0,229,41.879807597,-87.721889369
22039,58080,0,229,41.858029356,-87.722434585
22036,80760,6,228,41.858029356,-87.722434585
22035,49920,6,228,41.789830022,-87.666905081
22033,51420,5,227,41.878823468,-87.729349283
22034,11100,5,227,41.786054484,-87.665591164
22032,9420,5,227,41.88747417,-87.716087141
22031,55200,4,226,41.876856607,-87.633296057
22030,56520,3,225,41.808923611,-87.684442113
